"radon","floor","county"
8.8,0,"DAKOTA"
6.8,0,"DAKOTA"
2.3,0,"DAKOTA"
1.6,0,"DAKOTA"
2.8,0,"DAKOTA"
6.5,0,"DAKOTA"
1.7,0,"DAKOTA"
4.6,0,"DAKOTA"
3.3,0,"DAKOTA"
4.4,0,"DAKOTA"
21.2,0,"DAKOTA"
9.1,0,"DAKOTA"
0.9,0,"DAKOTA"
4.9,0,"DAKOTA"
5,0,"DAKOTA"
1.1,0,"DAKOTA"
7.6,0,"DAKOTA"
5.4,0,"DAKOTA"
3.6,0,"DAKOTA"
4.9,0,"DAKOTA"
4.7,0,"DAKOTA"
1.4,0,"DAKOTA"
3.4,0,"DAKOTA"
4.2,0,"DAKOTA"
2.5,0,"DAKOTA"
1.4,0,"DAKOTA"
1.4,0,"DAKOTA"
1.9,0,"DAKOTA"
4.8,0,"DAKOTA"
1.4,1,"DAKOTA"
3.8,0,"DAKOTA"
8.8,0,"DAKOTA"
4.3,0,"DAKOTA"
4.4,0,"DAKOTA"
4.5,0,"DAKOTA"
2.2,0,"DAKOTA"
0.5,0,"DAKOTA"
5.8,0,"DAKOTA"
5.4,0,"DODGE"
7.2,0,"DODGE"
5.7,0,"DODGE"
7.4,0,"DOUGLAS"
4.8,0,"DOUGLAS"
6.8,0,"DOUGLAS"
6.4,0,"DOUGLAS"
3.7,1,"DOUGLAS"
5.5,0,"DOUGLAS"
7.8,0,"DOUGLAS"
4.4,0,"DOUGLAS"
2.7,0,"DOUGLAS"
3.4,0,"FARIBAULT"
4.2,0,"FARIBAULT"
2.3,0,"FARIBAULT"
1.3,1,"FARIBAULT"
5.2,0,"FARIBAULT"
0.1,0,"FARIBAULT"
2.5,1,"FILLMORE"
3.2,0,"FILLMORE"
3.2,0,"FREEBORN"
9.6,0,"FREEBORN"
4.2,0,"FREEBORN"
9,0,"FREEBORN"
6.3,0,"FREEBORN"
32.6,0,"FREEBORN"
13.2,0,"FREEBORN"
2.2,1,"FREEBORN"
5.6,1,"FREEBORN"
14.3,0,"GOODHUE"
6.9,1,"GOODHUE"
7.6,0,"GOODHUE"
9.8,1,"GOODHUE"
2.6,0,"GOODHUE"
43.5,0,"GOODHUE"
4.9,0,"GOODHUE"
4.9,0,"GOODHUE"
3.5,0,"GOODHUE"
4.8,0,"GOODHUE"
5.6,0,"GOODHUE"
3.5,0,"GOODHUE"
3.9,0,"GOODHUE"
6.7,0,"GOODHUE"
7.9,0,"HENNEPIN"
3.3,0,"HENNEPIN"
2.1,1,"HENNEPIN"
1.6,0,"HENNEPIN"
4,0,"HENNEPIN"
1.8,0,"HENNEPIN"
2.5,0,"HENNEPIN"
11.2,0,"HENNEPIN"
2.6,0,"HENNEPIN"
3.9,0,"HENNEPIN"
7.4,0,"HENNEPIN"
1.3,0,"HENNEPIN"
0.9,0,"HENNEPIN"
0.4,0,"HENNEPIN"
2.5,1,"HENNEPIN"
6,0,"HENNEPIN"
2,0,"HENNEPIN"
5.4,0,"HENNEPIN"
3,0,"HENNEPIN"
2.9,0,"HENNEPIN"
5.5,0,"HENNEPIN"
4.1,0,"HENNEPIN"
3.9,0,"HENNEPIN"
14.9,0,"HENNEPIN"
7.2,0,"HENNEPIN"
2.3,0,"HENNEPIN"
2.8,1,"HENNEPIN"
4.4,0,"HENNEPIN"
1.5,0,"HENNEPIN"
8.6,0,"HENNEPIN"
5.6,0,"HENNEPIN"
8.6,0,"HENNEPIN"
3.8,0,"HENNEPIN"
1.8,0,"HENNEPIN"
1.9,0,"HENNEPIN"
5.5,0,"HENNEPIN"
2.5,0,"HENNEPIN"
0.8,1,"HENNEPIN"
2.1,0,"HENNEPIN"
2.8,0,"HENNEPIN"
3.9,0,"HENNEPIN"
4.3,0,"HENNEPIN"
4.7,0,"HENNEPIN"
2.8,0,"HENNEPIN"
4.1,0,"HENNEPIN"
1.6,0,"HENNEPIN"
4.3,0,"HENNEPIN"
0.7,1,"HENNEPIN"
5.5,0,"HENNEPIN"
3.3,1,"HENNEPIN"
5.5,0,"HENNEPIN"
2.5,0,"HENNEPIN"
2.7,0,"HENNEPIN"
8.4,0,"HENNEPIN"
3.3,0,"HENNEPIN"
3.2,0,"HENNEPIN"
8.6,0,"HENNEPIN"
1.7,0,"HENNEPIN"
5.7,0,"HENNEPIN"
13,0,"HENNEPIN"
2.7,0,"HENNEPIN"
4.7,0,"HENNEPIN"
5.6,0,"HENNEPIN"
13.8,0,"HENNEPIN"
7.6,1,"HENNEPIN"
5.7,0,"HENNEPIN"
4.6,0,"HENNEPIN"
7.6,0,"HENNEPIN"
2.6,0,"HENNEPIN"
4.5,0,"HENNEPIN"
5.9,0,"HENNEPIN"
2.2,0,"HENNEPIN"
2.4,0,"HENNEPIN"
4,0,"HENNEPIN"
4.6,0,"HENNEPIN"
4.6,0,"HENNEPIN"
10.9,0,"HENNEPIN"
7.6,0,"HENNEPIN"
3,0,"HENNEPIN"
1.5,0,"HENNEPIN"
1.6,1,"HENNEPIN"
16.5,0,"HENNEPIN"
3.1,0,"HENNEPIN"
5.1,0,"HENNEPIN"
4.9,0,"HENNEPIN"
6,0,"HENNEPIN"
0.9,1,"HENNEPIN"
1.8,0,"HENNEPIN"
3.9,0,"HENNEPIN"
5.6,0,"HENNEPIN"
0.4,1,"HENNEPIN"
2.6,0,"HENNEPIN"
3.6,0,"HENNEPIN"
6.2,0,"HENNEPIN"
23.6,0,"HENNEPIN"
3.9,0,"HENNEPIN"
2.9,0,"HENNEPIN"
3,0,"HENNEPIN"
4.7,0,"HENNEPIN"
3,0,"HENNEPIN"
4.2,0,"HENNEPIN"
3.8,0,"HENNEPIN"
3,0,"HENNEPIN"
4.3,0,"HENNEPIN"
2.9,1,"HENNEPIN"
3.4,0,"HOUSTON"
8.5,0,"HOUSTON"
9,0,"HOUSTON"
4.8,1,"HOUSTON"
3.6,0,"HOUSTON"
2.2,1,"HOUSTON"
2.8,1,"HUBBARD"
0.8,1,"HUBBARD"
1.5,0,"HUBBARD"
4.6,0,"HUBBARD"
3.7,1,"HUBBARD"
3.6,0,"ISANTI"
3,0,"ISANTI"
2.2,0,"ISANTI"
1.9,0,"ITASCA"
2.6,0,"ITASCA"
1.8,0,"ITASCA"
2.4,0,"ITASCA"
4.3,0,"ITASCA"
2.6,0,"ITASCA"
1.1,0,"ITASCA"
3.3,0,"ITASCA"
2.5,0,"ITASCA"
9.4,0,"ITASCA"
1.3,0,"ITASCA"
8.4,0,"JACKSON"
5,0,"JACKSON"
2.9,0,"JACKSON"
13.1,0,"JACKSON"
15.3,0,"JACKSON"
1.8,0,"KANABEC"
3.8,0,"KANABEC"
7.9,0,"KANABEC"
2.6,0,"KANABEC"
11.3,0,"KANDIYOHI"
4.1,0,"KANDIYOHI"
12.3,0,"KANDIYOHI"
6.7,0,"KANDIYOHI"
6.9,0,"KITTSON"
4.5,1,"KITTSON"
0.9,1,"KITTSON"
1.7,0,"KOOCHICHING"
1.4,0,"KOOCHICHING"
2,1,"KOOCHICHING"
1,1,"KOOCHICHING"
1,0,"KOOCHICHING"
2.8,1,"KOOCHICHING"
1.3,1,"KOOCHICHING"
11.3,1,"LACQUIPARLE"
16,0,"LACQUIPARLE"
1.3,1,"LAKE"
1.3,0,"LAKE"
1.6,0,"LAKE"
0.9,0,"LAKE"
2.8,0,"LAKE"
0.5,0,"LAKE"
1.5,0,"LAKE"
7.1,0,"LAKE"
0.5,0,"LAKE"
10.1,0,"LAKEOFTHEWOODS"
4.3,1,"LAKEOFTHEWOODS"
3.3,0,"LAKEOFTHEWOODS"
2.9,1,"LAKEOFTHEWOODS"
12.5,0,"LESUEUR"
4.2,1,"LESUEUR"
4.5,0,"LESUEUR"
3.9,0,"LESUEUR"
3.3,0,"LESUEUR"
17.5,0,"LINCOLN"
10.6,0,"LINCOLN"
7.9,0,"LINCOLN"
3.5,1,"LINCOLN"
6.5,0,"LYON"
6.9,1,"LYON"
5.1,0,"LYON"
12,0,"LYON"
5.1,0,"LYON"
8.9,0,"LYON"
5.8,0,"LYON"
4.6,0,"LYON"
3.9,0,"MAHNOMEN"
1.5,1,"MARSHALL"
23.8,0,"MARSHALL"
0.9,1,"MARSHALL"
1.4,1,"MARSHALL"
1.1,1,"MARSHALL"
2.8,0,"MARSHALL"
48.2,0,"MARSHALL"
0.9,1,"MARSHALL"
8.3,0,"MARSHALL"
4.1,0,"MARTIN"
0.5,1,"MARTIN"
6.7,0,"MARTIN"
7.5,0,"MARTIN"
9.2,0,"MARTIN"
0.5,0,"MARTIN"
1.5,0,"MARTIN"
10.3,0,"MCLEOD"
3.9,0,"MCLEOD"
1.8,0,"MCLEOD"
9.9,0,"MCLEOD"
2.3,0,"MCLEOD"
4.4,0,"MCLEOD"
2.8,0,"MCLEOD"
1.1,1,"MCLEOD"
1.2,0,"MCLEOD"
1.6,1,"MCLEOD"
25.4,1,"MCLEOD"
0,1,"MCLEOD"
10.6,0,"MCLEOD"
2.3,0,"MEEKER"
3.9,0,"MEEKER"
7.2,0,"MEEKER"
2.1,0,"MEEKER"
3.2,0,"MEEKER"
0.5,1,"MILLELACS"
5.7,0,"MILLELACS"
1.4,0,"MORRISON"
2.1,0,"MORRISON"
4.4,0,"MORRISON"
2.4,0,"MORRISON"
4.9,0,"MORRISON"
3,1,"MORRISON"
3,0,"MORRISON"
2.8,0,"MORRISON"
3.9,0,"MORRISON"
10.9,0,"MOWER"
6.4,0,"MOWER"
2,0,"MOWER"
3,0,"MOWER"
4.5,0,"MOWER"
2.1,0,"MOWER"
8,0,"MOWER"
1.3,1,"MOWER"
9.2,0,"MOWER"
1.1,1,"MOWER"
10.6,0,"MOWER"
24,0,"MOWER"
9.1,0,"MOWER"
12.1,0,"MURRAY"
8.1,0,"NICOLLET"
10.8,0,"NICOLLET"
4.2,0,"NICOLLET"
15.7,0,"NICOLLET"
5.4,0,"NOBLES"
6.2,0,"NOBLES"
9.7,0,"NOBLES"
8.1,0,"NORMAN"
1.6,0,"NORMAN"
1.6,1,"NORMAN"
6.4,0,"OLMSTED"
4.4,0,"OLMSTED"
11.2,0,"OLMSTED"
10,0,"OLMSTED"
4.5,0,"OLMSTED"
8,0,"OLMSTED"
2.3,0,"OLMSTED"
3.2,0,"OLMSTED"
5,0,"OLMSTED"
4.1,0,"OLMSTED"
1.1,0,"OLMSTED"
2,0,"OLMSTED"
1.1,1,"OLMSTED"
2.9,0,"OLMSTED"
2.1,0,"OLMSTED"
7.8,0,"OLMSTED"
3.8,0,"OLMSTED"
2.5,0,"OLMSTED"
2.9,0,"OLMSTED"
1.7,1,"OLMSTED"
2.5,0,"OLMSTED"
9.4,0,"OLMSTED"
0.6,1,"OLMSTED"
2.7,0,"OTTERTAIL"
1.1,1,"OTTERTAIL"
2.1,1,"OTTERTAIL"
12,0,"OTTERTAIL"
12.6,1,"OTTERTAIL"
3.2,0,"OTTERTAIL"
4.2,0,"OTTERTAIL"
3.8,0,"OTTERTAIL"
3.7,1,"PENNINGTON"
5.8,0,"PENNINGTON"
0.3,1,"PENNINGTON"
4.1,0,"PINE"
2.8,0,"PINE"
1.9,0,"PINE"
1.2,1,"PINE"
1.2,0,"PINE"
1.5,0,"PINE"
9.4,0,"PIPESTONE"
1.7,0,"PIPESTONE"
12.1,0,"PIPESTONE"
4.3,1,"PIPESTONE"
6.9,0,"POLK"
1.4,1,"POLK"
2.5,1,"POLK"
9.6,0,"POLK"
3.8,0,"POPE"
3.4,0,"POPE"
6.8,0,"RAMSEY"
3.6,0,"RAMSEY"
2.2,0,"RAMSEY"
2.6,0,"RAMSEY"
2.1,0,"RAMSEY"
7,0,"RAMSEY"
1.2,0,"RAMSEY"
3.8,0,"RAMSEY"
3.5,0,"RAMSEY"
4.2,0,"RAMSEY"
1.6,1,"RAMSEY"
2.8,1,"RAMSEY"
8.6,0,"RAMSEY"
6.2,0,"RAMSEY"
5.2,0,"RAMSEY"
2.7,0,"RAMSEY"
1.2,0,"RAMSEY"
3.5,0,"RAMSEY"
5.5,0,"RAMSEY"
10.1,1,"RAMSEY"
5.5,0,"RAMSEY"
1.2,0,"RAMSEY"
4.9,0,"RAMSEY"
4,0,"RAMSEY"
3.5,0,"RAMSEY"
2.5,0,"RAMSEY"
1.2,0,"RAMSEY"
2.7,0,"RAMSEY"
1.7,0,"RAMSEY"
3.1,0,"RAMSEY"
0.7,0,"RAMSEY"
1,0,"RAMSEY"
1.9,0,"REDWOOD"
3.8,0,"REDWOOD"
8.9,0,"REDWOOD"
7.4,0,"REDWOOD"
20.7,1,"REDWOOD"
6,0,"RENVILLE"
2.1,0,"RENVILLE"
5.8,1,"RENVILLE"
9.7,0,"RICE"
6.4,0,"RICE"
4.6,0,"RICE"
5.6,0,"RICE"
19,0,"RICE"
2.4,1,"RICE"
3,0,"RICE"
5.1,0,"RICE"
7.7,0,"RICE"
8.1,0,"RICE"
4.7,0,"RICE"
8.4,0,"ROCK"
1.6,0,"ROCK"
6,1,"ROSEAU"
1.1,1,"ROSEAU"
11.4,0,"ROSEAU"
4.3,1,"ROSEAU"
3.6,1,"ROSEAU"
10.3,0,"ROSEAU"
3.4,1,"ROSEAU"
3.1,0,"ROSEAU"
3.6,0,"ROSEAU"
2.7,0,"ROSEAU"
4,0,"ROSEAU"
1.2,1,"ROSEAU"
1.7,1,"ROSEAU"
4.2,1,"ROSEAU"
19.3,1,"SCOTT"
9.1,1,"SCOTT"
2,0,"SCOTT"
11.4,0,"SCOTT"
10.2,0,"SCOTT"
2.1,1,"SCOTT"
1.2,0,"SCOTT"
3.2,0,"SCOTT"
2,1,"SCOTT"
4.3,0,"SCOTT"
2.2,0,"SCOTT"
5.4,0,"SCOTT"
25.2,0,"SCOTT"
5.1,0,"SHERBURNE"
2.3,0,"SHERBURNE"
3.2,0,"SHERBURNE"
2.5,0,"SHERBURNE"
2.8,0,"SHERBURNE"
3.1,0,"SHERBURNE"
1.6,0,"SHERBURNE"
4.7,0,"SHERBURNE"
4,0,"SIBLEY"
5,0,"SIBLEY"
1.5,0,"SIBLEY"
4.8,0,"SIBLEY"
0.8,0,"STLOUIS"
0.5,1,"STLOUIS"
2.4,0,"STLOUIS"
2.3,0,"STLOUIS"
4.6,0,"STLOUIS"
11,0,"STLOUIS"
14.9,0,"STLOUIS"
8.6,0,"STLOUIS"
4.5,0,"STLOUIS"
1.5,0,"STLOUIS"
3.9,0,"STLOUIS"
1.8,0,"STLOUIS"
1.6,0,"STLOUIS"
0.5,0,"STLOUIS"
0.4,1,"STLOUIS"
0.5,1,"STLOUIS"
8.7,0,"STLOUIS"
1.6,1,"STLOUIS"
1.4,0,"STLOUIS"
8.7,0,"STLOUIS"
11.1,0,"STLOUIS"
1.5,0,"STLOUIS"
1.1,0,"STLOUIS"
0.9,1,"STLOUIS"
0.7,0,"STLOUIS"
4.2,0,"STLOUIS"
3.4,0,"STLOUIS"
2.1,1,"STLOUIS"
2.9,0,"STLOUIS"
1.8,0,"STLOUIS"
1.8,0,"STLOUIS"
2.4,0,"STLOUIS"
1.7,0,"STLOUIS"
0.8,1,"STLOUIS"
11.7,0,"STLOUIS"
1.8,0,"STLOUIS"
2.8,0,"STLOUIS"
3.5,1,"STLOUIS"
3.6,0,"STLOUIS"
3.5,0,"STLOUIS"
3,0,"STLOUIS"
3.2,1,"STLOUIS"
3.1,0,"STLOUIS"
3.3,0,"STLOUIS"
1.7,1,"STLOUIS"
5.6,0,"STLOUIS"
3.4,0,"STLOUIS"
1.5,0,"STLOUIS"
32.2,0,"STLOUIS"
1.1,0,"STLOUIS"
2.1,0,"STLOUIS"
0.8,0,"STLOUIS"
1.5,0,"STLOUIS"
1.3,0,"STLOUIS"
3.1,0,"STLOUIS"
7.2,0,"STLOUIS"
1.4,0,"STLOUIS"
1.3,0,"STLOUIS"
1.5,0,"STLOUIS"
5,0,"STLOUIS"
2.3,0,"STLOUIS"
2.4,0,"STLOUIS"
1.2,0,"STLOUIS"
5.4,0,"STLOUIS"
1.1,0,"STLOUIS"
1.4,0,"STLOUIS"
7.2,1,"STLOUIS"
1.1,0,"STLOUIS"
3.3,0,"STLOUIS"
3.2,0,"STLOUIS"
1.5,0,"STLOUIS"
3.6,0,"STLOUIS"
0.8,0,"STLOUIS"
1.6,0,"STLOUIS"
1.4,0,"STLOUIS"
2.7,0,"STLOUIS"
3.3,0,"STLOUIS"
0.9,0,"STLOUIS"
0.6,0,"STLOUIS"
2,0,"STLOUIS"
1.9,0,"STLOUIS"
0.9,0,"STLOUIS"
5.4,0,"STLOUIS"
1.5,0,"STLOUIS"
3.1,0,"STLOUIS"
1.8,0,"STLOUIS"
0.9,1,"STLOUIS"
3.3,0,"STLOUIS"
1.7,0,"STLOUIS"
3.1,0,"STLOUIS"
0.7,1,"STLOUIS"
4.3,0,"STLOUIS"
1.4,0,"STLOUIS"
1.8,0,"STLOUIS"
1.5,0,"STLOUIS"
2.2,1,"STLOUIS"
2.4,0,"STLOUIS"
2.7,0,"STLOUIS"
1.7,0,"STLOUIS"
1.1,1,"STLOUIS"
1.8,1,"STLOUIS"
0.2,0,"STLOUIS"
2.2,0,"STLOUIS"
4.6,0,"STLOUIS"
2.1,0,"STLOUIS"
2,0,"STLOUIS"
0.7,0,"STLOUIS"
6.4,0,"STLOUIS"
3,0,"STLOUIS"
2,0,"STLOUIS"
0.9,0,"STLOUIS"
3.3,0,"STLOUIS"
1.8,0,"STLOUIS"
1.8,0,"STLOUIS"
2.2,0,"STLOUIS"
4.3,0,"STLOUIS"
7.5,0,"STEARNS"
6.4,0,"STEARNS"
8.3,0,"STEARNS"
2.1,0,"STEARNS"
3.3,0,"STEARNS"
1.3,0,"STEARNS"
5,0,"STEARNS"
1,1,"STEARNS"
7,0,"STEARNS"
5.7,0,"STEARNS"
10.1,0,"STEARNS"
6.6,0,"STEARNS"
2.6,1,"STEARNS"
3.3,0,"STEARNS"
1.5,1,"STEARNS"
5,0,"STEARNS"
7.4,0,"STEARNS"
14.5,0,"STEARNS"
1.8,0,"STEARNS"
7.4,0,"STEARNS"
2.6,0,"STEARNS"
3.7,0,"STEARNS"
1.9,0,"STEARNS"
2.2,1,"STEARNS"
5,0,"STEARNS"
7.3,0,"STEELE"
3.7,0,"STEELE"
2.9,0,"STEELE"
4.4,0,"STEELE"
8.4,0,"STEELE"
5.1,0,"STEELE"
3.6,0,"STEELE"
1.5,0,"STEELE"
8.6,0,"STEELE"
10.6,0,"STEELE"
8,0,"STEVENS"
4.5,0,"STEVENS"
3,0,"SWIFT"
2.4,0,"SWIFT"
1.5,0,"SWIFT"
4.8,0,"SWIFT"
6.8,0,"TODD"
2.1,0,"TODD"
6,1,"TODD"
2.9,1,"TRAVERSE"
6.7,0,"TRAVERSE"
19.3,0,"TRAVERSE"
4,0,"TRAVERSE"
5.9,0,"WABASHA"
9,0,"WABASHA"
8.4,0,"WABASHA"
1.1,1,"WABASHA"
3.1,0,"WABASHA"
11.5,0,"WABASHA"
9.6,0,"WABASHA"
2.9,0,"WADENA"
0.7,1,"WADENA"
3.2,1,"WADENA"
4.7,0,"WADENA"
4.8,0,"WADENA"
0.4,0,"WASECA"
9.3,0,"WASECA"
1.7,0,"WASECA"
0.9,1,"WASECA"
10.2,0,"WASHINGTON"
7.7,0,"WASHINGTON"
2.2,0,"WASHINGTON"
6.5,0,"WASHINGTON"
12.2,0,"WASHINGTON"
4.6,0,"WASHINGTON"
6.2,0,"WASHINGTON"
6.5,0,"WASHINGTON"
2.8,0,"WASHINGTON"
1.9,0,"WASHINGTON"
1.2,1,"WASHINGTON"
2.4,0,"WASHINGTON"
1,0,"WASHINGTON"
1.2,1,"WASHINGTON"
1.6,0,"WASHINGTON"
0.8,0,"WASHINGTON"
1.7,0,"WASHINGTON"
4.7,0,"WASHINGTON"
1.7,1,"WASHINGTON"
3.3,0,"WASHINGTON"
0.8,1,"WASHINGTON"
9.8,0,"WASHINGTON"
5.3,0,"WASHINGTON"
8.5,0,"WASHINGTON"
1.9,0,"WASHINGTON"
6.6,0,"WASHINGTON"
3.8,0,"WASHINGTON"
5.9,0,"WASHINGTON"
4.9,0,"WASHINGTON"
2.5,1,"WASHINGTON"
10.7,0,"WASHINGTON"
2.4,0,"WASHINGTON"
2.1,0,"WASHINGTON"
4.7,0,"WASHINGTON"
3.7,0,"WASHINGTON"
13.4,0,"WASHINGTON"
2.9,0,"WASHINGTON"
4.3,0,"WASHINGTON"
3.8,0,"WASHINGTON"
1.8,0,"WASHINGTON"
1.5,0,"WASHINGTON"
1.8,0,"WASHINGTON"
1.3,0,"WASHINGTON"
6.6,0,"WASHINGTON"
20.4,0,"WASHINGTON"
6,0,"WASHINGTON"
13.8,0,"WATONWAN"
10.2,1,"WATONWAN"
5.7,1,"WATONWAN"
9.3,0,"WILKIN"
3.4,0,"WINONA"
4.1,0,"WINONA"
11.6,0,"WINONA"
7.2,0,"WINONA"
4.7,0,"WINONA"
1.8,1,"WINONA"
0.7,1,"WINONA"
4.7,0,"WINONA"
10.2,0,"WINONA"
11.3,0,"WINONA"
7.6,0,"WINONA"
11.8,0,"WINONA"
0.5,1,"WINONA"
6.7,0,"WRIGHT"
5.3,0,"WRIGHT"
3.1,0,"WRIGHT"
2.1,0,"WRIGHT"
7.3,0,"WRIGHT"
5.1,0,"WRIGHT"
2.2,0,"WRIGHT"
2.3,1,"WRIGHT"
15.9,0,"WRIGHT"
9.5,0,"WRIGHT"
6.4,0,"WRIGHT"
4.5,0,"WRIGHT"
5,0,"WRIGHT"
3.7,0,"YELLOWMEDICINE"
2.9,0,"YELLOWMEDICINE"
